iter	Passed	Remaining
215	2521	3315
216	2530	3300
217	2587	3347
218	2598	3334
219	2612	3324
220	2621	3309
221	2641	3308
222	2647	3288
223	2655	3271
224	2659	3250
225	2666	3233
226	2673	3215
227	2680	3198
228	2692	3186
229	2708	3180
230	2720	3167
231	2734	3158
232	2752	3154
233	2811	3196
234	2826	3187
235	2846	3184
236	2858	3172
237	2874	3163
238	2887	3153
239	2917	3160
240	2944	3164
241	3004	3202
242	3046	3222
243	3062	3212
244	3081	3206
245	3098	3198
246	3117	3192
247	3126	3177
248	3138	3163
249	3148	3148
250	3158	3133
251	3174	3123
252	3438	3357
253	3461	3352
254	3469	3333
255	3476	3313
256	3483	3293
257	3490	3273
258	3496	3253
259	3503	3234
260	3509	3213
261	3514	3192
262	3521	3173
263	3541	3165
264	3551	3149
265	3564	3135
266	3575	3120
267	3586	3104
268	3596	3088
269	3603	3069
270	3613	3053
271	3621	3035
272	3630	3019
273	3635	2998
274	3652	2988
275	3675	2983
276	3682	2964
277	3690	2946
278	3697	2929
279	3731	2931
280	3782	2947
281	3788	2928
282	3794	2909
283	3799	2889
284	3806	2871
285	3814	2854
286	3819	2834
287	3825	2816
288	3831	2797
289	3842	2782
290	3850	2765
291	3858	2748
292	3880	2741
293	3888	2724
294	3896	2707
295	3904	2690
296	3911	2673
297	3919	2656
298	3926	2639
299	3932	2621
300	3940	2605
301	3946	2587
302	3953	2570
303	3959	2552
304	3963	2534
305	3970	2517
306	3978	2500
307	3984	2483
308	3991	2467
309	3997	2450
310	4005	2434
311	4010	2416
312	4017	2400
313	4022	2382
314	4029	2366
315	4040	2352
316	4046	2336
317	4065	2326
318	4078	2314
319	4087	2299
320	4093	2282
321	4102	2267
322	4109	2251
323	4119	2237
324	4126	2221
325	4132	2205
326	4137	2188
327	4143	2172
328	4149	2156
329	4154	2140
330	4159	2123
331	4163	2107
332	4169	2091
333	4176	2075
334	4183	2060
335	4190	2045
336	4197	2030
337	4203	2014
338	4209	1998
339	4212	1982
340	4220	1967
341	4227	1952
342	4232	1937
343	4238	1922
344	4244	1906
345	4251	1892
346	4257	1877
347	4263	1862
348	4270	1847
349	4276	1832
350	4282	1818
351	4289	1803
352	4296	1789
353	4302	1774
354	4308	1759
355	4314	1745
356	4319	1730
357	4323	1715
358	4329	1700
359	4335	1686
360	4341	1671
361	4348	1657
362	4353	1642
363	4357	1628
364	4364	1614
365	4369	1599
366	4373	1585
367	4378	1570
368	4387	1557
369	4393	1543
370	4398	1529
371	4404	1515
372	4410	1501
373	4419	1488
374	4426	1475
375	4432	1461
376	4438	1448
377	4450	1436
378	4459	1423
379	4467	1410
380	4474	1397
381	4481	1384
382	4488	1371
383	4496	1358
384	4502	1344
385	4510	1332
386	4516	1318
387	4523	1305
388	4528	1292
389	4536	1279
390	4543	1266
391	4550	1253
392	4559	1241
393	4566	1228
394	4575	1216
395	4584	1203
396	4602	1194
397	4627	1185
398	4637	1173
399	4642	1160
400	4649	1147
401	4657	1135
402	4666	1123
403	4676	1111
404	4683	1098
405	4690	1085
406	4697	1073
407	4704	1060
408	4711	1048
409	4721	1036
410	4739	1026
411	4751	1014
412	4764	1003
413	4771	991
414	4776	978
415	4782	965
416	4788	953
417	4794	940
418	4802	928
419	4811	916
420	4818	904
421	4826	892
422	4834	879
423	4847	868
424	4852	856
425	4858	843
426	4867	832
427	4874	819
428	4880	807
429	4892	796
430	4898	784
431	4905	772
432	4912	760
433	4920	748
434	4926	736
435	4933	724
436	4940	712
437	4947	700
438	4955	688
439	4961	676
440	4967	664
441	4974	652
442	4981	640
443	4989	629
444	4993	617
445	4998	605
446	5005	593
447	5013	581
448	5019	570
449	5026	558
450	5032	546
451	5038	535
452	5046	523
453	5052	511
454	5057	500
455	5064	488
456	5068	476
457	5074	465
458	5080	453
459	5088	442
460	5095	431
461	5100	419
462	5106	408
463	5111	396
464	5117	385
465	5124	373
466	5129	362
467	5134	351
468	5141	339
469	5148	328
470	5155	317
471	5162	306
472	5167	294
473	5172	283
474	5179	272
475	5186	261
476	5194	250
477	5200	239
478	5207	228
479	5213	217
480	5219	206
481	5227	195
482	5232	184
483	5237	173
484	5243	162
485	5251	151
486	5259	140
487	5266	129
488	5274	118
489	5283	107
490	5292	97
491	5299	86
492	5307	75
493	5316	64
494	5322	53
495	5326	42
496	5332	32
497	5339	21
498	5349	10
499	5357	0
