iter	MultiClass
137	0.7026040973
138	0.6995887511
139	0.6969479073
140	0.6952143294
141	0.6934826283
142	0.6908570357
143	0.6900570001
144	0.6862167013
145	0.6836181159
146	0.6814928553
147	0.6782097484
148	0.6742632868
149	0.6714988779
150	0.6694834156
151	0.6680730277
152	0.6633077674
153	0.6601222964
154	0.6571554491
155	0.6543244636
156	0.6527741208
157	0.6499811334
158	0.6478148451
159	0.6442317832
160	0.6403028889
161	0.6389208416
162	0.6375803319
163	0.6345485776
164	0.6337363822
165	0.6309671643
166	0.6296086954
167	0.6271048714
168	0.6244940058
169	0.6226471289
170	0.6208635046
171	0.61938793
172	0.6165972244
173	0.6124248422
174	0.6093990608
175	0.6078243877
176	0.6063443678
177	0.6055937081
178	0.6029438557
179	0.5995919303
180	0.5965735829
181	0.5956140576
182	0.5940230565
183	0.5919271073
184	0.5907182451
185	0.5878330804
186	0.585587828
187	0.5840921836
188	0.5832618768
189	0.5815738644
190	0.5810132997
191	0.580387297
192	0.579600787
193	0.5766016375
194	0.5745800069
195	0.5727717751
196	0.5709151695
197	0.5680835092
198	0.5652734097
199	0.5631345523
200	0.561590585
201	0.5595358626
202	0.5571207764
203	0.5551389269
204	0.5532118348
205	0.5520619603
206	0.5499899952
207	0.5475205243
208	0.5465019282
209	0.5450665047
210	0.5431849715
211	0.5411207954
212	0.5398532183
213	0.5377226918
214	0.5365149935
215	0.5330214407
216	0.5318151007
217	0.5294270502
218	0.5277723234
219	0.5255246316
220	0.5244214267
221	0.5228000456
222	0.5213966603
223	0.5196866404
224	0.5174340125
225	0.5157305163
226	0.5143148379
227	0.5129638303
228	0.5113227394
229	0.5092829371
230	0.5072872183
231	0.5051887622
232	0.5041020684
233	0.5026064914
234	0.5018277797
235	0.5002124463
236	0.4982305458
237	0.4974541827
238	0.496218677
239	0.4945725989
240	0.4929672209
241	0.4917953484
242	0.4904857451
243	0.4884154438
244	0.4868591167
245	0.4850950322
246	0.482976094
247	0.481325105
248	0.4801102802
249	0.4781559902
250	0.4773295292
251	0.4761592826
252	0.4741450725
253	0.4723611367
254	0.4713008432
255	0.4700594417
256	0.4687848713
257	0.4672548983
258	0.4652874986
259	0.4646009434
260	0.4630620583
261	0.4612235092
262	0.4600490566
263	0.4579969473
264	0.4566386908
265	0.4552662754
266	0.4535909029
267	0.452371286
268	0.4514279391
269	0.4507222979
270	0.4494120489
271	0.4482009449
272	0.4468566639
273	0.4459184743
274	0.4449298183
275	0.4430716019
276	0.4423441518
277	0.4408092186
278	0.4394175546
279	0.4376263088
280	0.4367464687
281	0.4345304448
282	0.4338761619
283	0.4322786521
284	0.4304088782
285	0.430027682
286	0.4282646506
287	0.4271529973
288	0.4258847075
289	0.4249249158
290	0.4229393045
291	0.4221235204
292	0.4215310111
293	0.4203039339
294	0.4190371079
295	0.4182161682
296	0.4173054746
297	0.4162591958
298	0.4149771834
299	0.4143321424
300	0.4133114121
301	0.4123715523
302	0.4108265382
303	0.4094213985
304	0.4078380779
305	0.4072780777
306	0.4063057904
307	0.4037615404
308	0.4027163398
309	0.4018536275
310	0.4006669049
311	0.4000216978
312	0.3988274279
313	0.3980785099
314	0.3961397742
315	0.3944599473
316	0.3930541825
317	0.3923950863
318	0.3912687743
319	0.39027971
320	0.3893040664
321	0.3877593246
322	0.387009907
323	0.3863499502
324	0.3852192066
325	0.3841997643
326	0.3826210664
327	0.3821335069
328	0.3817693123
329	0.3806709365
330	0.380069963
331	0.3787354531
332	0.3777331328
333	0.3768760855
334	0.3759450098
335	0.3748440898
336	0.3744211774
337	0.3729859597
338	0.3725432861
339	0.3714831191
340	0.3698017195
341	0.3685048539
342	0.3664689915
343	0.3652365976
344	0.3647970809
345	0.3643868748
346	0.3636043115
347	0.362826012
348	0.361914618
349	0.3613172399
350	0.3607488081
351	0.360066286
352	0.358899994
353	0.3576396418
354	0.3571315619
355	0.3554504522
356	0.3543900491
357	0.3543016561
358	0.3532992047
359	0.3518039543
360	0.3508623442
361	0.3484635809
362	0.3478076803
363	0.346784921
364	0.345149391
365	0.343519704
366	0.3426347713
367	0.3420298214
368	0.34136029
369	0.3407278415
370	0.3391933422
371	0.337790107
372	0.3371007431
373	0.3360914953
374	0.3356493026
375	0.3343475698
376	0.3334835693
377	0.3327639367
378	0.3323680515
379	0.331273432
380	0.330246353
381	0.3292535556
382	0.3287390342
383	0.3279994801
384	0.3265955618
385	0.3262955067
386	0.3246240559
387	0.3233526024
388	0.3221470113
389	0.3216797774
390	0.3206724165
391	0.3202524012
392	0.3191074037
393	0.3186588507
394	0.3177607907
395	0.3164193369
396	0.3157654311
397	0.3147689483
398	0.3138896175
399	0.3135186046
400	0.3127715221
401	0.311880542
402	0.3109495039
403	0.3101878222
404	0.3092430974
405	0.308605529
406	0.307702087
407	0.3071689922
408	0.3061182268
409	0.3044906659
410	0.3031500752
411	0.3025981834
412	0.3014819441
413	0.3005794413
414	0.2998502979
415	0.2991350321
416	0.2987970481
417	0.2981485322
418	0.297493914
419	0.2971918427
420	0.2963645144
421	0.2953685715
422	0.2948566001
423	0.2943295477
424	0.2934748075
425	0.293041472
426	0.292322055
427	0.2917550455
428	0.2905086665
429	0.2901554592
430	0.2892080454
431	0.2885577091
432	0.2878882604
433	0.2871567219
434	0.2862745211
435	0.2854559567
436	0.2847243968
437	0.2841931474
438	0.2836882083
439	0.2831256702
440	0.2826775474
441	0.2819350467
442	0.2812860314
443	0.2802847014
444	0.2801176889
445	0.2792663869
446	0.2783824499
447	0.2775222023
448	0.2771685794
449	0.2765386497
450	0.2757312906
451	0.2750316297
452	0.2742998652
453	0.2732640831
454	0.2724969748
455	0.2719916398
456	0.2717486195
457	0.2713626402
458	0.2707173898
459	0.2698921679
460	0.2695021475
461	0.268773806
462	0.2684875383
463	0.2681762258
464	0.267529225
465	0.266703036
466	0.2658469583
467	0.2652124076
468	0.2643665093
469	0.263640748
470	0.262446215
471	0.2620484133
472	0.2613033142
473	0.2609874275
474	0.2607984522
475	0.2598308465
476	0.2590404716
477	0.258562713
478	0.2580963544
479	0.2578607282
480	0.2574120072
481	0.2570131971
482	0.2564902089
483	0.2560058781
484	0.2549672216
485	0.2546161192
486	0.2538394565
487	0.2535311957
488	0.2527349187
489	0.2522727767
490	0.251251358
491	0.2509573966
492	0.2503422701
493	0.2499674516
494	0.2491710323
495	0.248644228
496	0.2480998231
497	0.2478762677
498	0.2472490459
499	0.2469990944
