rmse,tonnetz_allDims,spectral_centroid,genre
0.13452314,0.0415261711573455,2578.9016716667147,0
0.12577392,0.038170434835306,2624.813689656775,0
0.18484113,-0.0245350018872806,2914.465142852169,0
0.13466883,0.042530385512787,2579.310087157286,0
0.09077041,-0.0333359107980434,2849.1201735577824,0
0.07681599,0.0962418842605139,1528.0352161403853,0
0.21861006,0.0047161595441104,3007.5696297712875,0
0.10110279,0.0420723896843989,1352.2176709922103,0
0.055633202,-0.0116090873518764,3502.957535650075,0
0.14624909,0.0841828203567497,2763.9493488117896,0
0.11595398,0.0189517134991784,2113.2149509099595,0
0.19493696,-0.0384549619161677,1870.516925055398,0
0.11322389,0.0198405240521047,2370.7811976640423,0
0.11110256,-0.0010754617960237,3674.8025488388457,0
0.13684125,0.0735333894724415,1831.4004476531657,0
0.17731188,0.0242551194344196,2191.146579143164,0
0.10779292,0.0303263285950786,3474.151620186833,0
0.15697321,-0.0394253567014357,2156.167785303529,0
0.12899226,0.0270720574737064,2119.582056978363,0
0.14243895,0.0076997303977871,2520.62761769247,0
0.150948,0.0409827646090926,1270.2896116060815,0
0.14833729,-0.0207027002874909,2536.6938142007953,0
0.12002846,0.0535956953405151,2034.9281994030464,0
0.1722999,-0.0520582878080708,2902.5435994055083,0
0.105383925,0.005431380680576,2006.944476457636,0
0.13153233,0.0303648466370244,2876.4973856225533,0
0.18123776,0.0041079506315315,2023.995104156505,0
0.20404299,0.0441539244722289,2364.288500491504,0
0.212132,0.0048597684738765,3021.466254358462,0
0.097501636,0.0816407866018147,1362.4745885073664,0
0.06876223,0.0322510147885702,1667.7885936388832,0
0.116398625,0.0447716908142362,3002.1693688223036,0
0.1362797,-0.0133409530584812,2278.9418605095357,0
0.13596319,-0.0024877439130067,2242.506109342796,0
0.107811615,-0.0562139662700385,2364.5228220496583,0
0.072785914,-0.0163917660596935,1516.0527862743745,0
0.1822014,0.0079980602907017,2860.732248102126,0
0.28233144,0.0048911055579279,2047.4370609309988,0
0.09544872,0.0464694574741233,2441.767625029722,0
0.16177149,-0.0298536394875525,3268.428871780434,0
0.1319985,0.0169002503723514,2290.0980250446937,0
0.024383008,-0.0167667988450799,1453.4542421902004,0
0.13355999,0.0081389111790228,2002.6345987484424,0
0.14826393,-0.0099874214692444,2638.548508303398,0
0.14117599,0.0027411340389782,2794.7594461604317,0
0.12222304,-0.0946693061368632,1319.4328621422385,0
0.18325473,0.008690276276593,2919.937982064331,0
0.15318926,-0.0360301013400879,2232.335731159407,0
0.1342282,0.0381894594601175,2485.4614133802024,0
0.08814483,0.0316154776671207,3657.28041666559,0
0.10523017,-0.0471433652696805,2313.4962393440615,0
0.08799967,-0.0139799007182489,2941.9249525447744,0
0.1645606,-0.0410637533245551,2358.2069152956806,0
0.12248401,-0.0061695006567437,2602.347047665269,0
0.1370347,-0.0150344491482024,2901.80811690559,0
0.20515338,0.0303608932393826,3116.6019292918845,0
0.11461891,0.0016669404897627,3055.722571663651,0
